date,open,high,low,close,volume,stock
3/1/2017,757.92,758.7595,747.7,753.67,3521066,AMZN
4/1/2017,758.39,759.68,754.2,757.18,2510526,AMZN
5/1/2017,761.55,782.3999,760.2557,780.45,5830068,AMZN
6/1/2017,782.36,799.44,778.48,795.99,5986234,AMZN
9/1/2017,798,801.7742,791.77,796.92,3446109,AMZN
10/1/2017,796.6,798,789.5434,795.9,2558369,AMZN
11/1/2017,793.66,799.5,789.51,799.02,2992791,AMZN
12/1/2017,800.31,814.13,799.5,813.64,4873922,AMZN
13/1/2017,814.32,821.65,811.4,817.14,3791945,AMZN
17/1/2017,815.7,816,803.44,809.72,3670529,AMZN
18/1/2017,809.5,811.73,804.27,807.48,2354201,AMZN
19/1/2017,810,813.51,807.32,809.04,2540784,AMZN
20/1/2017,815.28,816.02,806.26,808.33,3376196,AMZN
23/1/2017,806.8,818.5,805.08,817.88,2797474,AMZN
24/1/2017,822,823.99,814.5,822.44,2971740,AMZN
25/1/2017,825.79,837.4183,825.288,836.52,4023078,AMZN
26/1/2017,835.53,843.84,833,839.15,3586323,AMZN
27/1/2017,839,839.7,829.44,835.77,2998700,AMZN
30/1/2017,833,833.5,816.38,830.38,3747336,AMZN
31/1/2017,823.75,826.99,819.56,823.48,3137196,AMZN
1/2/2017,829.21,833.78,824.94,832.35,3850181,AMZN
2/2/2017,836.59,842.49,828.26,839.95,7350492,AMZN
3/2/2017,806.72,818.3,804,810.2,10868773,AMZN
6/2/2017,809.8,810.72,803,807.64,3897301,AMZN
7/2/2017,809.31,816.16,807.5,812.5,3466091,AMZN
8/2/2017,812.69,821.479,812.5,819.71,2857985,AMZN
9/2/2017,821.6,825,819.71,821.36,2484948,AMZN
10/2/2017,823.82,828,822.85,827.46,2429609,AMZN
13/2/2017,831.62,842.9999,828.55,836.53,4172618,AMZN
14/2/2017,837,838.31,831.4522,836.39,2792442,AMZN
15/2/2017,834,842.81,832.82,842.7,2968853,AMZN
16/2/2017,841.84,845,839.375,844.14,2714667,AMZN
17/2/2017,842,847.27,840.73,845.07,3112275,AMZN
21/2/2017,848.84,857.98,847.25,856.44,3507742,AMZN
22/2/2017,856.95,858.43,852.18,855.61,2616971,AMZN
23/2/2017,857.57,860.86,848,852.19,3461984,AMZN
24/2/2017,844.69,845.81,837.7501,845.24,3687963,AMZN
27/2/2017,842.38,852.5,839.67,848.64,2713627,AMZN
28/2/2017,851.45,854.09,842.05,845.04,2793709,AMZN
1/3/2017,853.05,854.83,849.01,853.08,2760083,AMZN
2/3/2017,853.08,854.82,847.28,848.91,2132098,AMZN
3/3/2017,847.2,851.985,846.27,849.88,1951575,AMZN
6/3/2017,845.23,848.49,841.12,846.61,2610370,AMZN
7/3/2017,845.48,848.46,843.75,846.02,2247554,AMZN
8/3/2017,848,853.07,846.79,850.5,2288317,AMZN
9/3/2017,851,856.3999,850.31,853,2048187,AMZN
10/3/2017,857,857.35,851.72,852.46,2436434,AMZN
13/3/2017,851.77,855.69,851.71,854.59,1909672,AMZN
14/3/2017,853.55,853.75,847.55,852.53,2130586,AMZN
15/3/2017,854.33,854.45,847.11,852.97,2562176,AMZN
16/3/2017,855.3,855.5,850.51,853.42,1842296,AMZN
17/3/2017,853.49,853.83,850.64,852.31,3384403,AMZN
20/3/2017,851.51,857.8,851.01,856.97,2282727,AMZN
21/3/2017,858.84,862.795,841.31,843.2,4382852,AMZN
22/3/2017,840.43,849.37,839.05,848.06,2658669,AMZN
23/3/2017,848.2,850.89,844.8,847.38,1952964,AMZN
24/3/2017,851.68,851.8,843.53,845.61,2138269,AMZN
27/3/2017,838.07,850.3,833.5,846.82,2755775,AMZN
28/3/2017,851.75,858.46,850.1,856,3041633,AMZN
29/3/2017,859.05,876.438,859.02,874.32,4485770,AMZN
30/3/2017,874.95,877.06,871.66,876.34,2762730,AMZN
31/3/2017,877,890.35,876.65,886.54,3957612,AMZN
3/4/2017,888,893.49,885.42,891.51,3422328,AMZN
4/4/2017,891.5,908.5384,890.28,906.83,4984656,AMZN
5/4/2017,910.82,923.72,905.62,909.28,7508370,AMZN
6/4/2017,913.8,917.1899,894.4927,898.28,6344065,AMZN
7/4/2017,899.65,900.09,889.31,894.88,3707367,AMZN
10/4/2017,899.63,908.51,899,907.04,3184301,AMZN
11/4/2017,907.04,911.24,897.5,902.36,3012743,AMZN
12/4/2017,903.09,904.09,895.2501,896.23,2456140,AMZN
13/4/2017,891.45,894.97,884.49,884.67,3174583,AMZN
17/4/2017,887.5,902.38,887.5,901.99,2854673,AMZN
18/4/2017,900.99,909.61,900.78,903.78,2999238,AMZN
19/4/2017,907.84,910.5,897.369,899.2,2870242,AMZN
20/4/2017,899.7,905.32,896.29,902.06,2814441,AMZN
21/4/2017,902.67,903.65,896.77,898.53,2420494,AMZN
24/4/2017,908.68,909.99,903.82,907.41,3122893,AMZN
25/4/2017,907.04,909.48,903,907.62,3380639,AMZN
26/4/2017,910.3,915.749,907.56,909.29,2608948,AMZN
27/4/2017,914.39,921.86,912.11,918.38,5305543,AMZN
28/4/2017,948.83,949.59,924.3335,924.99,7364681,AMZN
1/5/2017,927.8,954.4,927.8,948.23,5466544,AMZN
2/5/2017,946.645,950.1,941.413,946.94,3848835,AMZN
3/5/2017,946,946,935.9,941.03,3582686,AMZN
4/5/2017,944.75,945,934.215,937.53,2418381,AMZN
5/5/2017,940.52,940.79,930.3,934.15,2866397,AMZN
8/5/2017,940.95,949.05,939.21,949.04,3415731,AMZN
9/5/2017,952.8,957.89,950.2,952.82,3262113,AMZN
10/5/2017,953.5,953.7499,945,948.95,2096512,AMZN
11/5/2017,945.11,950.29,940.775,947.62,2194070,AMZN
