Customer ID,Date,Category,Transaction_Value,Processing_Fee
1,1/1/2022,Utilities,23,0.92
1,2/1/2022,Entertainment,8,0.24
1,2/1/2022,Groceries,35,1.4
1,3/1/2022,Entertainment,34,1.36
1,5/1/2022,Groceries,15,0.3
1,7/1/2022,F&B,11,0.55
2,1/1/2022,Utilities,60,2.4
2,4/1/2022,Entertainment,100,4
2,4/1/2022,F&B,25,0.75
2,6/1/2022,Groceries,16,0.48
3,1/1/2022,Utilities,44,2.2
3,2/1/2022,F&B,36,1.08
3,5/1/2022,F&B,7,0.35
3,7/1/2022,Entertainment,26,0.52
4,3/1/2022,F&B,90,3.6
4,4/1/2022,Groceries,50,1
4,6/1/2022,F&B,14,0.7
4,6/1/2022,Entertainment,23,1.15
